2021-09-28 17:31:07,578 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-09-28 17:31:08,427 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.kosmo:k11springlegacy:1.0.0-BUILD-SNAPSHOT @ C:\Users\user\Desktop\스프링10일차-최종(82기완료)\K11SpringLegacy\pom.xml.
2021-09-28 17:31:10,142 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-28 17:31:10,147 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 10 resources
2021-09-28 17:31:10,189 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-28 17:31:10,193 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-09-28 17:31:11,485 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-28 17:31:11,501 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-09-28 17:31:11,545 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-28 17:31:11,550 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-09-28 17:31:12,131 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.kosmo:k11transaction:1.0.0-BUILD-SNAPSHOT @ C:\Users\user\Desktop\스프링10일차-최종(82기완료)\K11Transaction\pom.xml.
2021-09-28 17:31:12,298 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.3 is missing, no dependency information available
2021-09-28 17:31:12,517 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.3 is missing, no dependency information available
2021-09-28 17:31:13,333 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-28 17:31:13,337 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-09-28 17:31:13,360 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-28 17:31:13,364 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-09-28 17:31:14,102 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.kosmo:k11websocket:1.0.0-BUILD-SNAPSHOT @ C:\Users\user\Desktop\스프링10일차-최종(82기완료)\K11Websocket\pom.xml.
2021-09-28 17:31:15,515 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-28 17:31:15,519 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-09-28 17:31:15,534 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2021-09-28 17:31:15,538 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
